Disease ID,Disease Name,Baseline R@100,Augmented R@100,Improvement,Baseline MRR,Augmented MRR
C0020542,Pulmonary Hypertension,0.03333333333333333,0.03333333333333333,0.0,0.0019196400865204425,0.0029356491741683558
C0020557,Hypertriglyceridemia,0.0,0.0,0.0,0.00024077970700180353,0.00012588091873030668
C0020615,Hypoglycemia,0.0,0.0,0.0,0.0006261522559714963,0.0008437290358530424
C0020619,Hypogonadism,0.15,0.15,0.0,0.012899846611008205,0.022104709254338543
C0020649,Hypotension,0.07666666666666666,0.09666666666666668,0.020000000000000018,0.02200260642448016,0.026622142076971313
C0020672,"Hypothermia, natural",0.0,0.1,0.1,0.00021080790776741983,0.0023406888114803925
C0021051,Immunologic Deficiency Syndromes,0.0,0.0,0.0,0.0004656378700447682,0.0006412128811097231
C0021361,Female infertility,0.2333333333333333,0.2333333333333333,0.0,0.006407230255256126,0.00672765882114193
C0021364,Male infertility,0.11000000000000001,0.11000000000000001,0.0,0.0022583468254396104,0.0023394253908995384
C0021368,Inflammation,0.07272727272727272,0.10181818181818181,0.029090909090909084,0.005234326790118591,0.006950841197232167
C0021390,Inflammatory Bowel Diseases,0.0125,0.0125,0.0,0.0009030604597445745,0.0008522908366815999
C0021400,Influenza,0.06000000000000001,0.06000000000000001,0.0,0.0037322960043579484,0.002546088831149616
C0021655,Insulin Resistance,0.045,0.045,0.0,0.003761955061626427,0.0025514443722718778
C0021841,Intestinal Neoplasms,0.15,0.3,0.15,0.006034833377870028,0.010920855758309301
C0022116,Ischemia,0.03333333333333333,0.05,0.01666666666666667,0.003321020119773175,0.001722790767763958
C0022336,Creutzfeldt-Jakob disease,0.0,0.0,0.0,8.543656026984625e-05,0.00032738479718286086
C0022521,Kartagener Syndrome,0.0,0.06666666666666667,0.06666666666666667,0.0006464368384088749,0.0017472207895512094
